Seed,Dataset,Model,HyperOpt params
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0928', 'subsample': '0.7608', 'colsample_bytree': '0.3266', 'max_depth': '9.0000', 'eta': '0.0013', 'scale_pos_weight': '1.0184'}"
0,报告数据,xgb,"{'lambda': '0.0011', 'gamma': '0.1596', 'subsample': '0.8550', 'colsample_bytree': '0.3837', 'max_depth': '9.0000', 'eta': '0.0022', 'scale_pos_weight': '1.0216'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,xgb,"{'lambda': '0.0003', 'gamma': '0.0000', 'subsample': '0.7472', 'colsample_bytree': '0.3048', 'max_depth': '11.0000', 'eta': '0.0012', 'scale_pos_weight': '1.0180'}"
0,报告数据,lgbm,"{'learning_rate': '0.0280', 'lambda_l2': '0.2736', 'max_depth': '11.0000', 'bagging_fraction': '0.8727', 'feature_fraction': '0.5732'}"
0,报告数据,lgbm,"{'learning_rate': '0.0066', 'lambda_l2': '0.0005', 'max_depth': '8.0000', 'bagging_fraction': '0.8829', 'feature_fraction': '0.3404'}"
0,报告数据,random_forest,"{'verbosity': 0, 'objective': 'binary:logistic', 'num_class': 1, 'colsample_bynode': 0.15075567228888181, 'learning_rate': 1, 'num_parallel_tree': 250, 'subsample': 0.63, 'tree_method': 'auto'}"
0,报告数据,lgbm,"{'learning_rate': '0.0063', 'lambda_l2': '0.6608', 'max_depth': '8.0000', 'bagging_fraction': '0.7726', 'feature_fraction': '0.3314'}"
0,报告数据,lgbm,"{'learning_rate': '0.0028', 'lambda_l2': '1.7814', 'max_depth': '9.0000', 'bagging_fraction': '0.7665', 'feature_fraction': '0.4971'}"
0,报告数据,xgb,"{'lambda': '0.0000', 'gamma': '0.0000', 'subsample': '0.7564', 'colsample_bytree': '0.3064', 'max_depth': '9.0000', 'eta': '0.0018', 'scale_pos_weight': '1.0013'}"
0,报告数据,lgbm,"{'learning_rate': '0.0291', 'lambda_l2': '2.2068', 'max_depth': '11.0000', 'bagging_fraction': '0.9497', 'feature_fraction': '0.3065'}"
0,报告数据,lgbm,"{'learning_rate': '0.0112', 'lambda_l2': '6.3250', 'max_depth': '9.0000', 'bagging_fraction': '0.7174', 'feature_fraction': '0.9904'}"
0,报告数据,lgbm,"{'learning_rate': '0.0132', 'lambda_l2': '0.0222', 'max_depth': '10.0000', 'bagging_fraction': '0.8132', 'feature_fraction': '0.5838'}"
0,报告数据,lgbm,"{'learning_rate': '0.0126', 'lambda_l2': '0.0001', 'max_depth': '9.0000', 'bagging_fraction': '0.7333', 'feature_fraction': '0.3055'}"
0,报告数据,lgbm,"{'learning_rate': '0.0047', 'lambda_l2': '0.6157', 'max_depth': '11.0000', 'bagging_fraction': '0.8104', 'feature_fraction': '0.3022'}"
0,报告数据,lgbm,"{'learning_rate': '0.0298', 'lambda_l2': '0.0001', 'max_depth': '9.0000', 'bagging_fraction': '0.9468', 'feature_fraction': '0.3177'}"
0,报告数据,lgbm,"{'learning_rate': '0.0176', 'lambda_l2': '0.0175', 'max_depth': '9.0000', 'bagging_fraction': '0.9453', 'feature_fraction': '0.4168'}"
0,报告数据,lgbm,"{'learning_rate': '0.0279', 'lambda_l2': '1.6855', 'max_depth': '10.0000', 'bagging_fraction': '0.7041', 'feature_fraction': '0.5293'}"
0,报告数据,lgbm,"{'learning_rate': '0.0294', 'lambda_l2': '0.0005', 'max_depth': '11.0000', 'bagging_fraction': '0.8110', 'feature_fraction': '0.8144'}"
0,报告数据,lgbm,"{'learning_rate': '0.0058', 'lambda_l2': '0.0002', 'max_depth': '9.0000', 'bagging_fraction': '0.9473', 'feature_fraction': '0.3022'}"
0,报告数据,lgbm,"{'learning_rate': '0.0286', 'lambda_l2': '0.0002', 'max_depth': '11.0000', 'bagging_fraction': '0.7729', 'feature_fraction': '0.3078'}"
